2024-11-15 20:58:10,636 - INFO - Starting training script
2024-11-15 20:58:10,636 - INFO - Model ID: 04
2024-11-15 20:58:10,636 - INFO - Figures folder: figures
2024-11-15 20:58:10,637 - INFO - Input folder: input_files
2024-11-15 20:58:10,637 - INFO - Output folder: output_files
2024-11-15 20:58:10,652 - INFO - x scaled shape: (721561, 5)
2024-11-15 20:58:10,652 - INFO - y scaled shape: (721561, 2)
2024-11-15 20:58:10,715 - INFO - x_train shape: (505092, 5)
2024-11-15 20:58:10,715 - INFO - y_train shape: (505092, 2)
2024-11-15 20:58:10,715 - INFO - x_val shape: (144312, 5)
2024-11-15 20:58:10,715 - INFO - y_val shape: (144312, 2)
2024-11-15 20:58:10,716 - INFO - x_test shape: (72157, 5)
2024-11-15 20:58:10,716 - INFO - y_test shape: (72157, 2)
2024-11-15 20:58:11,379 - INFO - Training model for output 1/2
2024-11-15 20:58:28,108 - INFO - Output 1, Epoch 1/50 - Epoch Loss: 717.5812
2024-11-15 20:58:44,932 - INFO - Output 1, Epoch 2/50 - Epoch Loss: 701.5927
2024-11-15 20:59:01,754 - INFO - Output 1, Epoch 3/50 - Epoch Loss: 700.7538
2024-11-15 20:59:18,449 - INFO - Output 1, Epoch 4/50 - Epoch Loss: 700.3225
2024-11-15 20:59:35,278 - INFO - Output 1, Epoch 5/50 - Epoch Loss: 699.8094
2024-11-15 20:59:51,964 - INFO - Output 1, Epoch 6/50 - Epoch Loss: 699.5134
2024-11-15 21:00:08,724 - INFO - Output 1, Epoch 7/50 - Epoch Loss: 699.2147
2024-11-15 21:00:25,483 - INFO - Output 1, Epoch 8/50 - Epoch Loss: 698.8978
2024-11-15 21:00:42,136 - INFO - Output 1, Epoch 9/50 - Epoch Loss: 698.6424
2024-11-15 21:00:58,935 - INFO - Output 1, Epoch 10/50 - Epoch Loss: 698.5273
2024-11-15 21:01:15,653 - INFO - Output 1, Epoch 11/50 - Epoch Loss: 698.3009
2024-11-15 21:01:32,452 - INFO - Output 1, Epoch 12/50 - Epoch Loss: 698.1681
2024-11-15 21:01:49,272 - INFO - Output 1, Epoch 13/50 - Epoch Loss: 698.0988
2024-11-15 21:02:06,050 - INFO - Output 1, Epoch 14/50 - Epoch Loss: 697.9023
2024-11-15 21:02:22,856 - INFO - Output 1, Epoch 15/50 - Epoch Loss: 697.8511
2024-11-15 21:02:39,611 - INFO - Output 1, Epoch 16/50 - Epoch Loss: 697.7329
2024-11-15 21:02:56,423 - INFO - Output 1, Epoch 17/50 - Epoch Loss: 697.7341
2024-11-15 21:03:13,195 - INFO - Output 1, Epoch 18/50 - Epoch Loss: 697.5999
2024-11-15 21:03:29,841 - INFO - Output 1, Epoch 19/50 - Epoch Loss: 697.5211
2024-11-15 21:03:46,616 - INFO - Output 1, Epoch 20/50 - Epoch Loss: 697.4875
2024-11-15 21:04:03,329 - INFO - Output 1, Epoch 21/50 - Epoch Loss: 697.4639
2024-11-15 21:04:20,058 - INFO - Output 1, Epoch 22/50 - Epoch Loss: 697.3602
2024-11-15 21:04:36,740 - INFO - Output 1, Epoch 23/50 - Epoch Loss: 697.3134
2024-11-15 21:04:53,438 - INFO - Output 1, Epoch 24/50 - Epoch Loss: 697.2444
2024-11-15 21:05:10,176 - INFO - Output 1, Epoch 25/50 - Epoch Loss: 697.2058
2024-11-15 21:05:26,852 - INFO - Output 1, Epoch 26/50 - Epoch Loss: 697.1636
2024-11-15 21:05:43,621 - INFO - Output 1, Epoch 27/50 - Epoch Loss: 697.0944
2024-11-15 21:06:00,426 - INFO - Output 1, Epoch 28/50 - Epoch Loss: 697.0378
2024-11-15 21:06:17,124 - INFO - Output 1, Epoch 29/50 - Epoch Loss: 696.9521
2024-11-15 21:06:33,913 - INFO - Output 1, Epoch 30/50 - Epoch Loss: 696.8926
2024-11-15 21:06:50,630 - INFO - Output 1, Epoch 31/50 - Epoch Loss: 696.8675
2024-11-15 21:07:07,378 - INFO - Output 1, Epoch 32/50 - Epoch Loss: 696.8333
2024-11-15 21:07:24,157 - INFO - Output 1, Epoch 33/50 - Epoch Loss: 696.8059
2024-11-15 21:07:40,827 - INFO - Output 1, Epoch 34/50 - Epoch Loss: 696.6650
2024-11-15 21:07:57,637 - INFO - Output 1, Epoch 35/50 - Epoch Loss: 696.7089
2024-11-15 21:08:14,355 - INFO - Output 1, Epoch 36/50 - Epoch Loss: 696.7408
2024-11-15 21:08:31,155 - INFO - Output 1, Epoch 37/50 - Epoch Loss: 696.5362
2024-11-15 21:08:47,844 - INFO - Output 1, Epoch 38/50 - Epoch Loss: 696.5886
2024-11-15 21:09:04,411 - INFO - Output 1, Epoch 39/50 - Epoch Loss: 696.4459
2024-11-15 21:09:21,066 - INFO - Output 1, Epoch 40/50 - Epoch Loss: 696.4822
2024-11-15 21:09:37,743 - INFO - Output 1, Epoch 41/50 - Epoch Loss: 696.4766
2024-11-15 21:09:54,406 - INFO - Output 1, Epoch 42/50 - Epoch Loss: 696.3644
2024-11-15 21:10:11,003 - INFO - Output 1, Epoch 43/50 - Epoch Loss: 696.3191
2024-11-15 21:10:27,671 - INFO - Output 1, Epoch 44/50 - Epoch Loss: 696.3471
2024-11-15 21:10:44,320 - INFO - Output 1, Epoch 45/50 - Epoch Loss: 696.2762
2024-11-15 21:11:00,918 - INFO - Output 1, Epoch 46/50 - Epoch Loss: 696.3000
