2024-12-09 09:47:30,034 - INFO - x scaled shape: (897254, 5)
2024-12-09 09:47:30,034 - INFO - y scaled shape: (897254, 2)
2024-12-09 09:47:30,123 - INFO - x_train shape: (628077, 5)
2024-12-09 09:47:30,123 - INFO - y_train shape: (628077, 2)
2024-12-09 09:47:30,123 - INFO - x_val shape: (179451, 5)
2024-12-09 09:47:30,123 - INFO - y_val shape: (179451, 2)
2024-12-09 09:47:30,123 - INFO - x_test shape: (89726, 5)
2024-12-09 09:47:30,123 - INFO - y_test shape: (89726, 2)
2024-12-09 09:47:47,566 - INFO - Trial 0: n_estimators=220, max_depth=10, min_samples_split=7, min_samples_leaf=9, Avg ROC AUC=0.8150
2024-12-09 09:48:10,639 - INFO - Trial 1: n_estimators=250, max_depth=50, min_samples_split=2, min_samples_leaf=8, Avg ROC AUC=0.8376
2024-12-09 09:48:35,181 - INFO - Trial 2: n_estimators=270, max_depth=20, min_samples_split=10, min_samples_leaf=10, Avg ROC AUC=0.8380
2024-12-09 09:48:51,032 - INFO - Trial 3: n_estimators=160, max_depth=30, min_samples_split=10, min_samples_leaf=5, Avg ROC AUC=0.8358
2024-12-09 09:49:18,493 - INFO - Trial 4: n_estimators=300, max_depth=50, min_samples_split=2, min_samples_leaf=9, Avg ROC AUC=0.8377
2024-12-09 09:49:29,935 - INFO - Trial 5: n_estimators=110, max_depth=40, min_samples_split=10, min_samples_leaf=1, Avg ROC AUC=0.8332
2024-12-09 09:49:45,123 - INFO - Trial 6: n_estimators=160, max_depth=20, min_samples_split=5, min_samples_leaf=7, Avg ROC AUC=0.8376
2024-12-09 09:50:04,900 - INFO - Trial 7: n_estimators=200, max_depth=30, min_samples_split=9, min_samples_leaf=5, Avg ROC AUC=0.8359
2024-12-09 09:50:27,114 - INFO - Trial 8: n_estimators=280, max_depth=10, min_samples_split=5, min_samples_leaf=9, Avg ROC AUC=0.8151
2024-12-09 09:50:48,435 - INFO - Trial 9: n_estimators=270, max_depth=10, min_samples_split=5, min_samples_leaf=5, Avg ROC AUC=0.8151
2024-12-09 09:51:11,327 - INFO - Trial 10: n_estimators=230, max_depth=20, min_samples_split=8, min_samples_leaf=2, Avg ROC AUC=0.8348
